2025-09-10 14:04:23.537 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-10 21:07:08.106 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/create. Renamed to auto-generated operationId: userCreatePost
2025-09-10 21:07:08.108 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: delete /user/{userId}. Renamed to auto-generated operationId: userUserIdDelete
2025-09-10 21:07:08.111 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/{userId}/reset-password. Renamed to auto-generated operationId: userUserIdReset_passwordPut
2025-09-10 21:07:08.112 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/users/{username}. Renamed to auto-generated operationId: userUsersUsernameGet
2025-09-10 21:07:08.114 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /messages. Renamed to auto-generated operationId: messagesGet
2025-09-10 21:07:08.115 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /messages. Renamed to auto-generated operationId: messagesPost
2025-09-10 21:07:08.116 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /messages/unread-count. Renamed to auto-generated operationId: messagesUnread_countGet
2025-09-10 21:07:08.117 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /messages/{id}/read. Renamed to auto-generated operationId: messagesIdReadPut
2025-09-10 21:07:08.117 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /messages/read-all. Renamed to auto-generated operationId: messagesRead_allPut
2025-09-10 21:07:08.118 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: delete /messages/{id}. Renamed to auto-generated operationId: messagesIdDelete
2025-09-10 21:07:08.118 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /. Renamed to auto-generated operationId: rootGet
2025-09-10 21:07:08.722 [main] INFO  i.s.codegen.v3.AbstractGenerator - writing file docs/index.html
2025-09-10 21:07:08.738 [main] INFO  i.s.codegen.v3.AbstractGenerator - writing file docs/.swagger-codegen/VERSION
2025-09-10 21:07:08.773 [main] INFO  Application - Application started in 1.862 seconds.
2025-09-10 21:07:08.904 [main] INFO  Application - Responding at http://0.0.0.0:8080
2025-09-10 21:07:12.451 [eventLoopGroupProxy-4-2] INFO  Application - Status: 200 OK, HTTP method: GET, User agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36
2025-09-10 21:07:12.796 [eventLoopGroupProxy-4-2] INFO  Application - Status: 200 OK, HTTP method: GET, User agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36
2025-09-10 22:07:14.049 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-10 22:07:14.422 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@37864b77
2025-09-10 22:07:14.424 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-10 22:07:15.219 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/signup. Renamed to auto-generated operationId: userSignupPost
2025-09-10 22:07:15.239 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/login. Renamed to auto-generated operationId: userLoginPost
2025-09-10 22:07:15.248 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/logout. Renamed to auto-generated operationId: userLogoutPost
2025-09-10 22:07:15.250 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/info. Renamed to auto-generated operationId: userInfoGet
2025-09-10 22:07:15.252 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/info. Renamed to auto-generated operationId: userInfoPut
2025-09-10 22:07:15.255 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/change-password. Renamed to auto-generated operationId: userChange_passwordPut
2025-09-10 22:07:15.256 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/users. Renamed to auto-generated operationId: userUsersGet
2025-09-10 22:07:15.261 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/create. Renamed to auto-generated operationId: userCreatePost
2025-09-10 22:07:15.263 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: delete /user/{userId}. Renamed to auto-generated operationId: userUserIdDelete
2025-09-10 22:07:15.267 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/{userId}/reset-password. Renamed to auto-generated operationId: userUserIdReset_passwordPut
2025-09-10 22:07:15.268 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/users/{username}. Renamed to auto-generated operationId: userUsersUsernameGet
2025-09-10 22:07:15.271 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /messages. Renamed to auto-generated operationId: messagesGet
2025-09-10 22:07:15.274 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /messages. Renamed to auto-generated operationId: messagesPost
2025-09-10 22:07:15.276 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /messages/unread-count. Renamed to auto-generated operationId: messagesUnread_countGet
2025-09-10 22:07:15.277 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /messages/{id}/read. Renamed to auto-generated operationId: messagesIdReadPut
2025-09-10 22:07:15.278 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /messages/read-all. Renamed to auto-generated operationId: messagesRead_allPut
2025-09-10 22:07:15.279 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: delete /messages/{id}. Renamed to auto-generated operationId: messagesIdDelete
2025-09-10 22:07:15.280 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /. Renamed to auto-generated operationId: rootGet
2025-09-10 22:07:15.831 [main] INFO  i.s.codegen.v3.AbstractGenerator - writing file docs/index.html
2025-09-10 22:07:15.840 [main] INFO  i.s.codegen.v3.AbstractGenerator - writing file docs/.swagger-codegen/VERSION
2025-09-10 22:07:15.875 [main] INFO  Application - Application started in 2.152 seconds.
2025-09-10 22:07:15.988 [main] INFO  Application - Responding at http://0.0.0.0:8080
2025-09-10 22:07:48.828 [eventLoopGroupProxy-4-1] INFO  Application - Status: 200 OK, HTTP method: GET, User agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36
2025-09-10 22:07:49.255 [eventLoopGroupProxy-4-2] INFO  Application - Status: 200 OK, HTTP method: GET, User agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36
2025-09-10 22:13:27.901 [eventLoopGroupProxy-4-3] INFO  Application - Status: 200 OK, HTTP method: GET, User agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36
2025-09-10 22:13:27.982 [eventLoopGroupProxy-4-3] INFO  Application - Status: 200 OK, HTTP method: GET, User agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36
2025-09-10 22:16:36.517 [eventLoopGroupProxy-4-4] INFO  Application - Status: 200 OK, HTTP method: OPTIONS, User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 SLBrowser/9.0.6.8151 SLBChan/109 SLBVPV/64-bit
2025-09-10 22:16:36.537 [eventLoopGroupProxy-4-4] INFO  Application - Status: 404 Not Found, HTTP method: GET, User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 SLBrowser/9.0.6.8151 SLBChan/109 SLBVPV/64-bit
2025-09-10 22:16:41.381 [eventLoopGroupProxy-4-4] INFO  Application - Status: 200 OK, HTTP method: OPTIONS, User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 SLBrowser/9.0.6.8151 SLBChan/109 SLBVPV/64-bit
2025-09-10 22:16:41.398 [eventLoopGroupProxy-4-4] INFO  Application - Status: 404 Not Found, HTTP method: GET, User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 SLBrowser/9.0.6.8151 SLBChan/109 SLBVPV/64-bit
2025-09-10 22:20:38.972 [eventLoopGroupProxy-4-5] INFO  Application - Status: 404 Not Found, HTTP method: GET, User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 SLBrowser/9.0.6.8151 SLBChan/109 SLBVPV/64-bit
2025-09-10 22:21:23.432 [eventLoopGroupProxy-4-5] INFO  Application - Status: 404 Not Found, HTTP method: GET, User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 SLBrowser/9.0.6.8151 SLBChan/109 SLBVPV/64-bit
2025-09-10 22:21:28.280 [eventLoopGroupProxy-4-5] INFO  Application - Status: 404 Not Found, HTTP method: GET, User agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 SLBrowser/9.0.6.8151 SLBChan/109 SLBVPV/64-bit
